file,marker,mean_x,mean_y,mean_z
AOM_L0_1.csv,1,4.073169125,11.89879723,31.2854161
AOM_L0_1.csv,2,5.9293973,45.3289971,51.4620638
AOM_L0_1.csv,3,6.4570074,80.81931077,64.20253823
AOM_L0_1.csv,4,7.787795075,117.6158953,71.80810965
AOM_L0_1.csv,5,7.440902025,156.700207,69.10435485
AOM_L0_1.csv,6,4.5658374,192.3092643,56.15911942
AOM_L0_1.csv,7,3.8111993,224.360545,40.46313515
AOM_L0_1.csv,8,3.36422105,256.7996802,29.16924748
AOM_L0_1.csv,9,1.619461725,292.1792015,23.71631533
AOM_L0_1.csv,10,1.135170325,328.017659,22.65652555
AOM_L0_1.csv,11,1.911626025,365.3913101,24.4637441
AOM_L0_1.csv,12,2.2569455,401.0827019,24.39545368
AOM_L0_2.csv,1,3.419945314,19.63142939,21.99644798
AOM_L0_2.csv,2,4.268665314,52.65749031,29.8154922
AOM_L0_2.csv,3,5.887595647,84.79302453,46.17322488
AOM_L0_2.csv,4,7.688124529,116.9605271,64.36884318
AOM_L0_2.csv,5,8.063237549,154.6146449,75.54405435
AOM_L0_2.csv,6,6.918259961,192.7585404,76.1631118
AOM_L0_2.csv,7,5.951936353,229.8572508,66.95056202
AOM_L0_2.csv,8,4.469721843,263.4175989,51.51259861
AOM_L0_2.csv,9,2.619978,295.9272843,36.84562998
AOM_L0_2.csv,10,2.043962373,330.0673104,27.1099921
AOM_L0_2.csv,11,1.939047353,365.413576,23.5885929
AOM_L0_2.csv,12,1.956481118,400.6725404,24.0352622
AOM_L0_3.csv,1,2.43505575,20.75906878,21.14663192
AOM_L0_3.csv,2,1.425925972,57.02685981,20.97317714
AOM_L0_3.csv,3,-0.339493222,91.48146203,25.31415044
AOM_L0_3.csv,4,-1.089807056,124.5017925,37.03510081
AOM_L0_3.csv,5,-1.302755583,157.0369869,52.04614761
AOM_L0_3.csv,6,0.080070917,190.4778345,68.11569469
AOM_L0_3.csv,7,2.211733611,227.4652952,78.18683986
AOM_L0_3.csv,8,3.265050028,266.4060414,78.26135892
AOM_L0_3.csv,9,3.2770165,303.1536145,70.68013508
AOM_L0_3.csv,10,4.756563889,338.8266101,58.38672372
AOM_L0_3.csv,11,6.660229083,373.0786497,43.30781653
AOM_L0_3.csv,12,8.517725778,405.0635597,28.410324
AOM_L3_10_11_12_303030_1.csv,1,-0.680101649,-2.356556054,30.53228292
AOM_L3_10_11_12_303030_1.csv,2,-0.831973757,22.3418183,60.95540122
AOM_L3_10_11_12_303030_1.csv,3,0.085777892,52.79612776,82.98503508
AOM_L3_10_11_12_303030_1.csv,4,2.402751405,85.64548097,101.5611788
AOM_L3_10_11_12_303030_1.csv,5,3.862498811,123.7838401,110.2437415
AOM_L3_10_11_12_303030_1.csv,6,2.826164622,162.3063552,108.2122713
AOM_L3_10_11_12_303030_1.csv,7,2.597686081,200.3680126,96.70729497
AOM_L3_10_11_12_303030_1.csv,8,1.646029514,235.9673168,77.15856981
AOM_L3_10_11_12_303030_1.csv,9,-0.245991595,270.8592257,56.26496341
AOM_L3_10_11_12_303030_1.csv,10,-1.432137405,308.2429942,40.67316673
AOM_L3_10_11_12_303030_1.csv,11,-3.227504324,347.7650939,31.00621268
AOM_L3_10_11_12_303030_1.csv,12,-6.179099568,388.9413824,27.78597478
AOM_L3_10_11_12_303030_2.csv,1,0.732479333,9.190610333,23.82022048
AOM_L3_10_11_12_303030_2.csv,2,1.420919926,40.50763244,37.53884
AOM_L3_10_11_12_303030_2.csv,3,2.467963222,68.1342273,60.41883511
AOM_L3_10_11_12_303030_2.csv,4,3.450742222,94.11651067,85.64450093
AOM_L3_10_11_12_303030_2.csv,5,3.928321259,127.5127213,106.6560876
AOM_L3_10_11_12_303030_2.csv,6,2.512595259,164.6961811,116.9651656
AOM_L3_10_11_12_303030_2.csv,7,1.691891481,204.4091706,117.8732959
AOM_L3_10_11_12_303030_2.csv,8,-0.16397263,244.7207783,109.3497954
AOM_L3_10_11_12_303030_2.csv,9,-1.819279074,283.9624205,93.75189937
AOM_L3_10_11_12_303030_2.csv,10,-2.114086444,321.8008196,74.32151519
AOM_L3_10_11_12_303030_2.csv,11,-2.802208111,358.0909243,52.76971052
AOM_L3_10_11_12_303030_2.csv,12,-5.261575074,394.5668437,31.6450983
AOM_L3_1_2_3_303030_1.csv,1,1.1548073,3.392197325,34.39922928
AOM_L3_1_2_3_303030_1.csv,2,-0.36120965,35.27419503,65.96802518
AOM_L3_1_2_3_303030_1.csv,3,-3.215657225,72.2603071,88.28121888
AOM_L3_1_2_3_303030_1.csv,4,-1.509819675,112.0175413,103.2823519
AOM_L3_1_2_3_303030_1.csv,5,0.11582725,155.0837009,106.9542743
AOM_L3_1_2_3_303030_1.csv,6,0.264025625,195.4882282,100.0663195
AOM_L3_1_2_3_303030_1.csv,7,2.5271565,231.7603027,84.94516753
AOM_L3_1_2_3_303030_1.csv,8,4.167400525,261.7128243,64.34828163
AOM_L3_1_2_3_303030_1.csv,9,5.02517525,291.6296944,44.1685394
AOM_L3_1_2_3_303030_1.csv,10,5.831237,324.1726227,30.63079313
AOM_L3_1_2_3_303030_1.csv,11,5.693109775,358.8970199,25.1308705
AOM_L3_1_2_3_303030_1.csv,12,6.11734745,393.8636834,23.62754268
AOM_L3_1_2_3_303030_2.csv,1,-0.214610957,8.141647826,27.50765235
AOM_L3_1_2_3_303030_2.csv,2,-1.782427652,47.91070309,35.516155
AOM_L3_1_2_3_303030_2.csv,3,-3.95642613,83.18336222,53.2531817
AOM_L3_1_2_3_303030_2.csv,4,-4.326458174,116.6023513,76.09521552
AOM_L3_1_2_3_303030_2.csv,5,-4.032564826,153.185602,97.10426057
AOM_L3_1_2_3_303030_2.csv,6,-4.287078783,191.3228521,110.5327481
AOM_L3_1_2_3_303030_2.csv,7,-2.668078478,230.2688002,114.7985316
AOM_L3_1_2_3_303030_2.csv,8,-2.263235522,268.2997556,107.8500615
AOM_L3_1_2_3_303030_2.csv,9,-3.262358217,303.4930645,94.06580591
AOM_L3_1_2_3_303030_2.csv,10,-1.547947609,336.4231727,75.266026
AOM_L3_1_2_3_303030_2.csv,11,-0.041768522,367.8270741,54.93906443
AOM_L3_1_2_3_303030_2.csv,12,1.505095478,395.3545027,31.71334222
AOM_L3_1_2_4_303030_1.csv,1,0.699980891,1.876821739,20.71825633
AOM_L3_1_2_4_303030_1.csv,2,1.220439652,32.21453615,52.63402326
AOM_L3_1_2_4_303030_1.csv,3,2.570444717,69.47618398,76.00644157
AOM_L3_1_2_4_303030_1.csv,4,4.100693804,109.3392001,90.94962352
AOM_L3_1_2_4_303030_1.csv,5,4.744395913,152.7193684,94.9436093
AOM_L3_1_2_4_303030_1.csv,6,4.017684109,194.1178141,87.40455515
AOM_L3_1_2_4_303030_1.csv,7,5.129612978,230.8145162,70.9638778
AOM_L3_1_2_4_303030_1.csv,8,6.336644696,261.4622352,49.63778567
AOM_L3_1_2_4_303030_1.csv,9,6.206014826,291.375729,29.44382585
AOM_L3_1_2_4_303030_1.csv,10,5.098918565,323.6131227,16.04196846
AOM_L3_1_2_4_303030_1.csv,11,3.040919674,357.8875633,10.8179027
AOM_L3_1_2_4_303030_1.csv,12,1.042863022,392.9018946,9.924780826
AOM_L3_1_2_4_303030_2.csv,1,0.814522621,2.348438345,12.72604617
AOM_L3_1_2_4_303030_2.csv,2,-0.399328448,41.05279252,22.15126607
AOM_L3_1_2_4_303030_2.csv,3,-1.328400793,76.55537021,40.28844772
AOM_L3_1_2_4_303030_2.csv,4,-0.700947138,109.3380153,64.31746969
AOM_L3_1_2_4_303030_2.csv,5,-0.643630655,145.9433862,86.48135114
AOM_L3_1_2_4_303030_2.csv,6,-2.071905276,185.2974528,99.88513293
AOM_L3_1_2_4_303030_2.csv,7,-2.680147793,225.3893859,102.9840206
AOM_L3_1_2_4_303030_2.csv,8,-3.563091483,264.1178547,95.93308276
AOM_L3_1_2_4_303030_2.csv,9,-4.393590517,298.5969334,81.56487321
AOM_L3_1_2_4_303030_2.csv,10,-2.935942483,331.5382534,61.98548814
AOM_L3_1_2_4_303030_2.csv,11,0.042928448,362.5962988,41.88351169
AOM_L3_1_2_4_303030_2.csv,12,1.74891,390.1809398,17.50588697
AOM_L3_1_4_7_303030_1.csv,1,-1.248899783,0.323455239,36.95157185
AOM_L3_1_4_7_303030_1.csv,2,-0.934387457,27.7863598,70.78558413
AOM_L3_1_4_7_303030_1.csv,3,-3.065120196,60.28749461,98.41162839
AOM_L3_1_4_7_303030_1.csv,4,-4.074004565,97.24841496,119.4827976
AOM_L3_1_4_7_303030_1.csv,5,-6.98293713,140.274285,129.3854874
AOM_L3_1_4_7_303030_1.csv,6,-5.784814,185.7312194,128.2114242
AOM_L3_1_4_7_303030_1.csv,7,-2.515176435,228.4703453,116.1263915
AOM_L3_1_4_7_303030_1.csv,8,-0.854583783,266.5322804,94.68988498
AOM_L3_1_4_7_303030_1.csv,9,-0.168282761,298.941478,69.90803454
AOM_L3_1_4_7_303030_1.csv,10,-1.128027848,329.5372652,48.38620213
AOM_L3_1_4_7_303030_1.csv,11,-1.486076783,361.7968511,33.771523
AOM_L3_1_4_7_303030_1.csv,12,-1.521344261,395.5949117,24.77687702
AOM_L3_1_4_7_303030_2.csv,1,-1.826552105,13.12277526,30.38823629
AOM_L3_1_4_7_303030_2.csv,2,0.871976,46.42318795,54.42153505
AOM_L3_1_4_7_303030_2.csv,3,2.631353158,77.35261289,80.58395703
AOM_L3_1_4_7_303030_2.csv,4,6.886910474,110.2641375,107.3902859
AOM_L3_1_4_7_303030_2.csv,5,6.645981342,151.2306202,125.8619662
AOM_L3_1_4_7_303030_2.csv,6,6.210314026,194.6416031,133.1981643
AOM_L3_1_4_7_303030_2.csv,7,4.384851158,238.9286439,130.7066859
AOM_L3_1_4_7_303030_2.csv,8,2.141079368,280.4004171,118.2292469
AOM_L3_1_4_7_303030_2.csv,9,1.120737289,317.3244501,99.08302647
AOM_L3_1_4_7_303030_2.csv,10,0.535786316,350.1649307,78.20295292
AOM_L3_1_4_7_303030_2.csv,11,0.631409947,379.7028277,54.95366111
AOM_L3_1_4_7_303030_2.csv,12,0.716149895,406.9021341,31.18753926
AOM_L3_1_5_8_303030_1.csv,1,0.04763945,3.34889345,35.67286408
AOM_L3_1_5_8_303030_1.csv,2,-3.9128511,29.7630409,70.21492828
AOM_L3_1_5_8_303030_1.csv,3,-7.508894,61.69097377,97.8420441
AOM_L3_1_5_8_303030_1.csv,4,-7.378763025,98.51607688,119.3036685
AOM_L3_1_5_8_303030_1.csv,5,-8.21914245,141.6932419,129.843438
AOM_L3_1_5_8_303030_1.csv,6,-8.7336959,185.808588,128.0070923
AOM_L3_1_5_8_303030_1.csv,7,-7.58295955,228.7004219,116.0154409
AOM_L3_1_5_8_303030_1.csv,8,-5.877880675,267.1066956,93.69834908
AOM_L3_1_5_8_303030_1.csv,9,-2.622634725,299.9557519,68.63889772
AOM_L3_1_5_8_303030_1.csv,10,-0.449522125,332.1253296,47.2892778
AOM_L3_1_5_8_303030_1.csv,11,1.980775775,365.3846078,32.82398705
AOM_L3_1_5_8_303030_1.csv,12,3.592392625,400.2410569,25.12152668
AOM_L3_1_5_8_303030_2.csv,1,-1.374049346,14.30708369,29.70810231
AOM_L3_1_5_8_303030_2.csv,2,-0.969509231,45.24477454,53.53246408
AOM_L3_1_5_8_303030_2.csv,3,-0.131948769,73.37083004,83.6153045
AOM_L3_1_5_8_303030_2.csv,4,3.745214269,105.9520028,110.8428553
AOM_L3_1_5_8_303030_2.csv,5,5.380502308,146.0606994,129.2098977
AOM_L3_1_5_8_303030_2.csv,6,5.782266769,189.7281148,136.2443554
AOM_L3_1_5_8_303030_2.csv,7,6.831671692,234.1961365,132.8371007
AOM_L3_1_5_8_303030_2.csv,8,7.101594846,276.3638834,118.8282636
AOM_L3_1_5_8_303030_2.csv,9,7.679713885,313.5661528,98.27277662
AOM_L3_1_5_8_303030_2.csv,10,7.857524231,347.08253,76.0522605
AOM_L3_1_5_8_303030_2.csv,11,8.530641,377.2697519,52.48954377
AOM_L3_1_5_8_303030_2.csv,12,8.978885115,406.1761368,30.5057335
AOM_L3_1_6_9_303030_1.csv,1,0.23413875,6.039829833,36.14315389
AOM_L3_1_6_9_303030_1.csv,2,-1.495195944,30.11867639,71.64652928
AOM_L3_1_6_9_303030_1.csv,3,-3.792636583,61.13496667,100.7361391
AOM_L3_1_6_9_303030_1.csv,4,-3.108741167,96.680905,122.7183281
AOM_L3_1_6_9_303030_1.csv,5,-4.638356278,139.164115,134.6199976
AOM_L3_1_6_9_303030_1.csv,6,-3.879862167,183.3475579,135.4071905
