Format Version,1.24,Take Name,RADs_12s_period_1440deg_amplitude,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-10 03.50.46.302 PM,Capture Start Frame,1579145,Total Frames in Take,7283,Total Exported Frames,7283,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022
,ID,"24154BC549F350C11F1","24154BC549F350C11F1","24154BC549F350C11F1","24354BC549F350C11F1","24354BC549F350C11F1","24354BC549F350C11F1","24654BC549F350C11F1","24654BC549F350C11F1","24654BC549F350C11F1","24754BC549F350C11F1","24754BC549F350C11F1","24754BC549F350C11F1","25B54BC549F350C11F1","25B54BC549F350C11F1","25B54BC549F350C11F1","25D54BC549F350C11F1","25D54BC549F350C11F1","25D54BC549F350C11F1","26654BC549F350C11F1","26654BC549F350C11F1","26654BC549F350C11F1","26854BC549F350C11F1","26854BC549F350C11F1","26854BC549F350C11F1","26A54BC549F350C11F1","26A54BC549F350C11F1","26A54BC549F350C11F1","26C54BC549F350C11F1","26C54BC549F350C11F1","26C54BC549F350C11F1","27454BC549F350C11F1","27454BC549F350C11F1","27454BC549F350C11F1","27554BC549F350C11F1","27554BC549F350C11F1","27554BC549F350C11F1","27654BC549F350C11F1","27654BC549F350C11F1","27654BC549F350C11F1","27754BC549F350C11F1","27754BC549F350C11F1","27754BC549F350C11F1","27854BC549F350C11F1","27854BC549F350C11F1","27854BC549F350C11F1","27C54BC549F350C11F1","27C54BC549F350C11F1","27C54BC549F350C11F1","27E54BC549F350C11F1","27E54BC549F350C11F1","27E54BC549F350C11F1","28354BC549F350C11F1","28354BC549F350C11F1","28354BC549F350C11F1","28454BC549F350C11F1","28454BC549F350C11F1","28454BC549F350C11F1","28554BC549F350C11F1","28554BC549F350C11F1","28554BC549F350C11F1","28654BC549F350C11F1","28654BC549F350C11F1","28654BC549F350C11F1","28854BC549F350C11F1","28854BC549F350C11F1","28854BC549F350C11F1","28954BC549F350C11F1","28954BC549F350C11F1","28954BC549F350C11F1"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,165.816589,189.017227,312.117554,60.816673,175.178772,306.565247,285.444916,176.696976,222.518539,290.904755,179.219406,307.393219,149.773300,192.206985,-26.976921,-51.467079,192.567734,72.207138,360.303314,191.185242,-43.947845,270.478149,174.254364,-36.712917,-48.801132,193.246170,152.928360,269.575470,172.709808,51.839310,370.230957,202.468567,132.918991,157.088623,182.702744,227.224274,384.666931,181.514236,192.083740,285.579834,178.976288,136.002380,79.423302,168.334961,231.349838,-39.139587,187.357635,316.144501,-47.108955,171.205399,235.237640,157.318237,205.060333,140.503418,61.314201,198.482117,-18.729156,151.981415,190.637955,59.992542,69.553009,182.805496,64.684273,-53.007111,235.594742,0.076239,71.224602,179.424683,147.703430
1,0.008333,165.868164,189.006378,312.207947,60.836956,175.159470,306.584503,285.461334,176.659225,222.526093,290.927338,179.156372,307.401489,149.778198,192.213776,-26.976377,-51.421944,192.460129,72.222992,360.309296,191.195007,-43.943710,270.549957,174.176880,-36.706444,-48.785694,193.232941,152.942276,269.581085,172.720566,51.848648,370.238098,202.460236,132.921982,157.101929,182.697464,227.242096,384.657562,181.515976,192.079880,285.589417,178.966812,136.009308,79.429932,168.337341,231.366089,-39.134773,187.338806,316.162842,-47.102226,171.166595,235.260162,157.329391,205.042923,140.521500,61.322502,198.459564,-18.713940,151.990051,190.641586,60.002003,69.561737,182.799805,64.700119,-53.020161,235.598984,0.092831,71.194504,179.460052,147.757477
2,0.016667,165.930557,188.862640,312.157379,60.838066,175.179138,306.584534,285.463898,176.651825,222.516159,290.927979,179.149384,307.392670,149.779388,192.228699,-26.974201,-51.472519,192.582611,72.227608,360.308594,191.214783,-43.953381,270.485992,174.287338,-36.706913,-48.799751,193.256210,152.944809,269.582275,172.730316,51.851410,370.242798,202.473801,132.925735,157.105530,182.703384,227.238998,384.662476,181.515289,192.088089,285.584137,178.978287,136.005203,79.450645,168.487625,231.380646,-39.129906,187.348740,316.161957,-47.100903,171.204559,235.263901,157.325485,205.055038,140.518494,61.318909,198.483627,-18.717892,151.987320,190.663895,60.005413,69.558304,182.815567,64.699104,-53.022884,235.590179,0.080710,71.191124,179.472519,147.757828
3,0.025000,165.956528,188.789261,312.163849,60.857208,175.161255,306.603546,285.522949,176.583481,222.532028,290.956299,179.096313,307.396301,149.786209,192.229309,-26.966690,-51.416592,192.425446,72.231552,360.320831,191.214279,-43.956314,270.552673,174.215469,-36.693890,-48.787292,193.232117,152.958633,269.585571,173.053711,51.971626,370.255310,202.479233,132.925110,157.126022,182.688766,227.249847,384.671387,181.526947,192.092957,285.523865,179.131638,135.921539,79.477837,168.501816,231.389587,-39.113239,187.340424,316.180298,-47.085739,171.283401,235.319824,157.336914,205.074020,140.528839,61.334766,198.471863,-18.700050,152.004074,190.662399,60.011719,69.569138,182.805618,64.709671,-53.184532,235.208649,-0.023813,71.206116,179.472855,147.775070
4,0.033333,166.061447,189.137436,312.219330,60.877262,175.155441,306.614075,285.522736,176.607147,222.524323,290.952637,179.093506,307.389954,149.862503,192.214706,-26.921267,-51.437481,192.403946,72.207642,360.320679,191.229401,-43.954182,270.576599,174.186996,-36.697227,-48.792355,193.236603,152.941742,269.574585,173.095306,51.963329,370.261078,202.494354,132.925491,157.121384,182.705933,227.250275,384.682312,181.526016,192.088058,285.615753,179.038803,135.793365,79.474419,168.520294,231.383957,-39.117340,187.354706,316.178192,-47.090305,171.316940,235.316223,157.340912,205.071869,140.528122,61.327496,198.464447,-18.715000,152.004944,190.683044,60.012024,69.563873,182.841202,64.701820,-53.159649,235.375732,0.022283,71.201805,179.502975,147.771484
5,0.041667,166.072052,189.085983,312.230896,60.888557,175.099213,306.616486,285.542938,176.583298,222.522156,290.974243,179.039703,307.402130,149.938370,192.378860,-26.970369,-51.423523,192.329803,72.168869,360.330811,191.206696,-43.958549,270.591003,174.276917,-36.628666,-48.792801,193.189743,152.912247,269.584381,173.094925,51.970276,370.264954,202.497772,132.921997,157.132797,182.703674,227.251556,384.681305,181.527359,192.093536,285.634460,179.069901,135.785950,79.478348,168.522232,231.379456,-39.112610,187.300064,316.181671,-47.081757,171.165085,235.266815,157.334351,205.087692,140.527283,61.386913,198.314423,-18.796993,152.021271,190.675278,60.009670,69.570427,182.823624,64.685600,-53.031464,235.180206,-0.167749,71.206284,179.501465,147.765366
