Format Version,1.24,Take Name,RADs_3s_period_1440deg_amplitude,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-10 03.54.27.451 PM,Capture Start Frame,1605685,Total Frames in Take,7649,Total Exported Frames,7649,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1047,Unlabeled 1047,Unlabeled 1047,Unlabeled 1048,Unlabeled 1048,Unlabeled 1048,Unlabeled 1049,Unlabeled 1049,Unlabeled 1049,Unlabeled 1050,Unlabeled 1050,Unlabeled 1050,Unlabeled 1051,Unlabeled 1051,Unlabeled 1051,Unlabeled 1052,Unlabeled 1052,Unlabeled 1052,Unlabeled 1053,Unlabeled 1053,Unlabeled 1053,Unlabeled 1054,Unlabeled 1054,Unlabeled 1054,Unlabeled 1055,Unlabeled 1055,Unlabeled 1055,Unlabeled 1056,Unlabeled 1056,Unlabeled 1056,Unlabeled 1057,Unlabeled 1057,Unlabeled 1057,Unlabeled 1058,Unlabeled 1058,Unlabeled 1058,Unlabeled 1059,Unlabeled 1059,Unlabeled 1059,Unlabeled 1060,Unlabeled 1060,Unlabeled 1060,Unlabeled 1061,Unlabeled 1061,Unlabeled 1061,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064,Unlabeled 1065,Unlabeled 1065,Unlabeled 1065,Unlabeled 1066,Unlabeled 1066,Unlabeled 1066,Unlabeled 1067,Unlabeled 1067,Unlabeled 1067,Unlabeled 1068,Unlabeled 1068,Unlabeled 1068,Unlabeled 1069,Unlabeled 1069,Unlabeled 1069,Unlabeled 1070,Unlabeled 1070,Unlabeled 1070,Unlabeled 1071,Unlabeled 1071,Unlabeled 1071,Unlabeled 1072,Unlabeled 1072,Unlabeled 1072,Unlabeled 1073,Unlabeled 1073,Unlabeled 1073
,ID,"24154BC549F350C11F1","24154BC549F350C11F1","24154BC549F350C11F1","24354BC549F350C11F1","24354BC549F350C11F1","24354BC549F350C11F1","24654BC549F350C11F1","24654BC549F350C11F1","24654BC549F350C11F1","24754BC549F350C11F1","24754BC549F350C11F1","24754BC549F350C11F1","25B54BC549F350C11F1","25B54BC549F350C11F1","25B54BC549F350C11F1","25D54BC549F350C11F1","25D54BC549F350C11F1","25D54BC549F350C11F1","26654BC549F350C11F1","26654BC549F350C11F1","26654BC549F350C11F1","26854BC549F350C11F1","26854BC549F350C11F1","26854BC549F350C11F1","26A54BC549F350C11F1","26A54BC549F350C11F1","26A54BC549F350C11F1","26C54BC549F350C11F1","26C54BC549F350C11F1","26C54BC549F350C11F1","27454BC549F350C11F1","27454BC549F350C11F1","27454BC549F350C11F1","27554BC549F350C11F1","27554BC549F350C11F1","27554BC549F350C11F1","27754BC549F350C11F1","27754BC549F350C11F1","27754BC549F350C11F1","27854BC549F350C11F1","27854BC549F350C11F1","27854BC549F350C11F1","27C54BC549F350C11F1","27C54BC549F350C11F1","27C54BC549F350C11F1","27E54BC549F350C11F1","27E54BC549F350C11F1","27E54BC549F350C11F1","28354BC549F350C11F1","28354BC549F350C11F1","28354BC549F350C11F1","28454BC549F350C11F1","28454BC549F350C11F1","28454BC549F350C11F1","28554BC549F350C11F1","28554BC549F350C11F1","28554BC549F350C11F1","28654BC549F350C11F1","28654BC549F350C11F1","28654BC549F350C11F1","28854BC549F350C11F1","28854BC549F350C11F1","28854BC549F350C11F1","28954BC549F350C11F1","28954BC549F350C11F1","28954BC549F350C11F1","28A54BC549F350C11F1","28A54BC549F350C11F1","28A54BC549F350C11F1","28B54BC549F350C11F1","28B54BC549F350C11F1","28B54BC549F350C11F1","28C54BC549F350C11F1","28C54BC549F350C11F1","28C54BC549F350C11F1","28D54BC549F350C11F1","28D54BC549F350C11F1","28D54BC549F350C11F1","28E54BC549F350C11F1","28E54BC549F350C11F1","28E54BC549F350C11F1"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,163.361801,182.550598,310.406433,58.840672,170.993591,306.446014,283.688263,185.596573,221.485306,288.700775,191.484451,306.053131,150.184219,221.708908,-20.078983,-54.461903,172.795212,67.197403,358.303894,191.698624,-45.265644,268.579254,190.006210,-36.470051,-51.551922,185.938858,148.587708,267.765961,178.262665,50.840336,364.874023,219.499023,129.177887,156.414444,169.643707,227.323395,282.651215,184.631271,134.619141,76.148338,157.241165,231.537354,-41.222763,190.772812,314.199219,-49.226013,175.163239,233.257843,153.873489,193.131607,141.938019,58.002361,201.323837,-16.064142,151.219131,190.354660,62.134834,68.459015,177.711472,64.965233,-61.814735,190.304214,-10.585974,69.400024,167.482269,147.791580,351.395660,240.806366,292.908234,357.775391,197.719086,44.071175,,,,,,,,,
1,0.008333,163.338730,182.492889,310.404114,58.831615,170.927658,306.443207,283.666840,185.620239,221.480606,288.673981,191.478775,306.053802,149.926514,222.376953,-20.215321,-54.478184,172.806931,67.177216,358.266846,191.726730,-45.233971,268.559937,190.027115,-36.466663,-51.560638,185.937378,148.573135,267.659943,178.398010,50.830494,364.847076,219.549927,129.156326,156.389679,169.568008,227.341125,282.612610,184.652863,134.636292,76.137527,157.197968,231.527374,-41.229721,190.739563,314.177185,-49.261829,175.035324,233.231216,153.864563,193.133118,141.934372,57.964172,201.354279,-16.088722,151.210022,190.373337,62.137478,68.450386,177.702271,64.963600,-61.821590,190.379639,-10.613576,69.384552,167.443008,147.772842,351.429016,240.750259,292.945831,357.744720,197.720078,44.080715,,,,,,,,,
2,0.016667,163.319580,182.474640,310.411438,58.818275,170.893570,306.435730,283.610199,185.689087,221.478149,288.671661,191.434723,306.067596,149.834106,222.765671,-20.274630,-54.484764,172.807037,67.163689,358.245819,191.776138,-45.214485,268.544678,190.081665,-36.457829,-51.562710,185.935760,148.569290,267.770325,178.239899,50.972042,364.834351,219.574020,129.167007,156.370346,169.525620,227.344681,282.609589,184.647018,134.646088,76.129524,157.175674,231.515564,-41.223022,190.700943,314.162384,-49.265522,174.988083,233.221786,153.860672,193.140518,141.940659,57.949402,201.377701,-16.088873,151.201538,190.385864,62.139721,68.437981,177.702454,64.963287,-61.811085,190.411530,-10.636191,69.384521,167.407013,147.772293,351.379181,240.775497,292.928314,357.730713,197.740814,44.087635,,,,,,,,,
3,0.025000,163.333755,182.424713,310.397186,58.827679,170.862213,306.425262,283.612183,185.671722,221.482025,288.667297,191.371155,306.101349,149.950790,222.966614,-20.370857,-54.480927,172.799072,67.144005,358.238739,191.787476,-45.217903,268.537598,190.110458,-36.455845,-51.556728,185.929611,148.555069,267.864075,178.117126,50.991295,364.824188,219.589233,129.179901,156.374710,169.520432,227.332977,282.609863,184.652878,134.649841,76.131897,157.156815,231.495941,-41.221199,190.681061,314.150085,-49.260063,174.953094,233.203781,153.858063,193.139221,141.935654,57.947998,201.392212,-16.089258,151.197647,190.400024,62.143002,68.435127,177.712662,64.953484,-61.807209,190.442398,-10.660524,69.377815,167.418121,147.750671,351.334259,240.790359,292.922211,357.725525,197.770584,44.088840,,,,,,,,,
4,0.033333,163.349380,182.400238,310.398682,58.839054,170.880157,306.400513,283.686401,185.552979,221.497955,288.662109,191.346344,306.110779,149.984604,222.983093,-20.380726,-54.468685,172.778091,67.144783,358.243652,191.799316,-45.213634,268.550354,190.134415,-36.459667,-51.539993,185.932953,148.547485,267.880249,178.122482,50.993225,364.816345,219.610504,129.186737,156.401016,169.512802,227.337097,282.617126,184.665039,134.655304,76.143661,157.142929,231.495224,-41.201267,190.646835,314.159760,-49.207535,174.886871,233.209732,153.864914,193.147293,141.941330,57.948906,201.378998,-16.088556,151.201981,190.422623,62.142372,68.450066,177.707581,64.953644,-61.801102,190.441788,-10.655972,69.388817,167.413269,147.755341,351.377716,240.685226,292.963593,357.753326,197.921814,44.188210,,,,,,,,,
5,0.041667,163.370529,182.409134,310.396942,58.860138,170.840408,306.424316,283.682953,185.554337,221.482956,288.676086,191.347504,306.093384,150.030930,222.920914,-20.339491,-54.461735,172.768188,67.144615,358.253998,191.790741,-45.231152,268.557831,190.164780,-36.465866,-51.519016,185.938156,148.547287,267.738678,178.364807,50.848419,364.818298,219.620483,129.175842,156.408707,169.518326,227.329468,282.630737,184.725174,134.621857,76.152740,157.149170,231.493835,-41.194511,190.617111,314.174622,-49.195477,174.909363,233.211777,153.866165,193.139572,141.935287,57.946377,201.393311,-16.084038,151.211426,190.435913,62.142479,68.459473,177.714355,64.958031,-61.787331,190.441666,-10.647966,69.399879,167.396866,147.750504,351.369537,240.692215,292.933228,357.793732,197.913757,44.151169,,,,,,,,,
