Format Version,1.24,Take Name,RADs_6s_period_1440deg_amplitude,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-04-10 03.52.52.945 PM,Capture Start Frame,1594343,Total Frames in Take,7261,Total Exported Frames,7261,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1030,Unlabeled 1030,Unlabeled 1030,Unlabeled 1031,Unlabeled 1031,Unlabeled 1031,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032,Unlabeled 1033,Unlabeled 1033,Unlabeled 1033,Unlabeled 1034,Unlabeled 1034,Unlabeled 1034,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035,Unlabeled 1036,Unlabeled 1036,Unlabeled 1036,Unlabeled 1037,Unlabeled 1037,Unlabeled 1037,Unlabeled 1038,Unlabeled 1038,Unlabeled 1038,Unlabeled 1039,Unlabeled 1039,Unlabeled 1039,Unlabeled 1040,Unlabeled 1040,Unlabeled 1040,Unlabeled 1041,Unlabeled 1041,Unlabeled 1041,Unlabeled 1042,Unlabeled 1042,Unlabeled 1042,Unlabeled 1043,Unlabeled 1043,Unlabeled 1043,Unlabeled 1044,Unlabeled 1044,Unlabeled 1044,Unlabeled 1045,Unlabeled 1045,Unlabeled 1045,Unlabeled 1046,Unlabeled 1046,Unlabeled 1046
,ID,"24154BC549F350C11F1","24154BC549F350C11F1","24154BC549F350C11F1","24354BC549F350C11F1","24354BC549F350C11F1","24354BC549F350C11F1","24654BC549F350C11F1","24654BC549F350C11F1","24654BC549F350C11F1","24754BC549F350C11F1","24754BC549F350C11F1","24754BC549F350C11F1","25B54BC549F350C11F1","25B54BC549F350C11F1","25B54BC549F350C11F1","25D54BC549F350C11F1","25D54BC549F350C11F1","25D54BC549F350C11F1","26654BC549F350C11F1","26654BC549F350C11F1","26654BC549F350C11F1","26854BC549F350C11F1","26854BC549F350C11F1","26854BC549F350C11F1","26A54BC549F350C11F1","26A54BC549F350C11F1","26A54BC549F350C11F1","26C54BC549F350C11F1","26C54BC549F350C11F1","26C54BC549F350C11F1","27454BC549F350C11F1","27454BC549F350C11F1","27454BC549F350C11F1","27554BC549F350C11F1","27554BC549F350C11F1","27554BC549F350C11F1","27654BC549F350C11F1","27654BC549F350C11F1","27654BC549F350C11F1","27754BC549F350C11F1","27754BC549F350C11F1","27754BC549F350C11F1","27854BC549F350C11F1","27854BC549F350C11F1","27854BC549F350C11F1","27C54BC549F350C11F1","27C54BC549F350C11F1","27C54BC549F350C11F1","27E54BC549F350C11F1","27E54BC549F350C11F1","27E54BC549F350C11F1","28354BC549F350C11F1","28354BC549F350C11F1","28354BC549F350C11F1","28454BC549F350C11F1","28454BC549F350C11F1","28454BC549F350C11F1","28554BC549F350C11F1","28554BC549F350C11F1","28554BC549F350C11F1","28654BC549F350C11F1","28654BC549F350C11F1","28654BC549F350C11F1","28854BC549F350C11F1","28854BC549F350C11F1","28854BC549F350C11F1","28954BC549F350C11F1","28954BC549F350C11F1","28954BC549F350C11F1","28A54BC549F350C11F1","28A54BC549F350C11F1","28A54BC549F350C11F1"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,166.185440,189.520782,310.904266,58.641685,179.836288,305.048950,285.378235,165.999527,223.316162,290.823456,171.368210,307.799072,154.959717,219.575226,-22.733566,-51.374767,206.364319,68.744720,362.743866,190.912354,-42.247574,271.991608,187.616119,-35.689613,-45.158962,228.940521,148.857697,270.292023,171.652084,51.293163,371.144318,190.944931,134.379715,157.204025,175.790176,226.539841,386.054474,171.141815,193.784500,285.315613,169.069794,136.021378,76.214073,177.564087,229.110992,-41.162258,191.325439,313.549927,-43.307121,209.374756,232.164871,158.797638,193.042709,139.848679,61.884052,205.535828,-16.659946,153.371429,192.339722,60.808815,71.161140,193.652283,66.634705,-57.825325,195.607849,-10.600471,72.866371,191.906494,148.605591,,,
1,0.008333,166.214844,189.570847,310.894012,58.655159,179.854630,305.042633,285.408722,166.127640,223.328873,290.826935,171.433334,307.785767,154.961914,219.545273,-22.737774,-51.359432,206.374069,68.738525,362.745941,190.903656,-42.249966,271.980865,187.603821,-35.694134,-45.134907,228.942490,148.845825,270.297211,171.627747,51.290665,371.150726,190.931412,134.380051,157.217010,175.823044,226.536407,386.071106,171.146240,193.776154,285.383820,169.115677,136.048233,76.226204,177.571075,229.106689,-41.141697,191.352188,313.545746,-43.285275,209.383911,232.148392,158.802155,193.019562,139.840500,61.888142,205.506424,-16.670324,153.384720,192.286942,60.809437,71.175247,193.618408,66.635307,-57.807480,195.559891,-10.601651,72.880508,191.865158,148.588486,,,
2,0.016667,166.212936,189.611130,310.886932,58.652969,179.923660,305.040863,285.418732,166.252151,223.302368,290.845245,171.481888,307.785187,154.953934,219.529770,-22.743700,-51.366024,206.410278,68.724922,362.732819,190.906479,-42.265827,271.973572,187.584671,-35.700478,-45.138416,228.974075,148.835327,270.255249,171.490799,51.287506,371.161652,190.907654,134.363663,157.210007,175.846970,226.531738,386.091492,171.164688,193.759689,285.403625,169.123047,136.034943,76.226028,177.611389,229.107239,-41.136917,191.421371,313.531403,-43.292332,209.448318,232.115875,158.900894,192.926224,139.732803,61.883095,205.480804,-16.670195,153.373871,192.271835,60.800949,71.165962,193.606964,66.626709,-57.799313,195.561111,-10.599604,72.874992,191.867386,148.587692,,,
3,0.025000,166.186310,190.044601,310.990631,58.668129,179.976318,305.043915,285.435730,166.276001,223.292297,290.862335,171.537460,307.766144,154.954590,219.518341,-22.741014,-51.355526,206.405045,68.732285,362.730713,190.913055,-42.277218,271.978394,187.565933,-35.707218,-45.117847,228.985703,148.831406,270.298462,171.613861,51.279209,371.171967,190.883621,134.340530,157.220032,175.863495,226.530563,386.121429,171.313400,193.686676,285.355194,169.105286,136.009781,76.239197,177.635315,229.108612,-41.125122,191.430527,313.538086,-43.264877,209.468872,232.135284,158.928513,192.939850,139.719833,61.881123,205.443954,-16.678860,153.375687,192.253601,60.795673,71.179512,193.574860,66.624062,-57.796795,195.548477,-10.595378,72.883293,191.883255,148.586594,,,
4,0.033333,166.232361,189.661240,310.872162,58.679775,180.007736,305.031708,285.439850,166.280823,223.271271,290.875397,171.560760,307.730988,154.941650,219.496323,-22.748249,-51.367149,206.418793,68.733833,362.715057,190.910614,-42.300549,271.974640,187.572830,-35.717628,-45.124260,229.030579,148.830963,270.295532,171.614471,51.275505,371.179993,190.870819,134.327759,157.225510,175.889999,226.521118,386.138031,171.317001,193.683472,285.324707,169.096497,135.998444,76.280045,177.677658,229.120285,-41.116028,191.461655,313.534821,-43.253880,209.523758,232.141052,158.924515,192.947815,139.716827,61.864731,205.427750,-16.680714,153.367508,192.226425,60.777782,71.167725,193.580231,66.618187,-57.825928,195.584732,-10.596173,72.883774,191.910385,148.582474,,,
5,0.041667,166.279388,189.544403,310.951660,58.715675,180.019745,305.034454,285.481812,166.234955,223.247101,290.897095,171.578400,307.717407,154.938461,219.479279,-22.749102,-51.355473,206.409760,68.750267,362.726959,190.919266,-42.299183,271.980774,187.591919,-35.711102,-45.093956,229.022324,148.840836,270.296112,171.607971,51.270603,371.184967,190.851746,134.319687,157.247482,175.905609,226.521530,386.152100,171.313965,193.673859,285.328766,169.083588,135.993759,76.284615,177.764832,229.152191,-41.090157,191.470093,313.545807,-43.176155,209.693054,232.194489,158.933044,192.940018,139.711578,61.863789,205.417465,-16.680866,153.378662,192.217102,60.778507,71.172684,193.579498,66.624016,-57.839405,195.583359,-10.577980,72.896164,191.935150,148.589539,,,
